order,component,total_weight,unlocked_kanji
1,口,310,6
2,一,300,6
3,卜,290,4
4,夕,270,3
5,亠,261,8
6,木,232,9
7,日,231,6
8,人,221,7
9,月,222,8
10,八,261,6
11,冂,211,4
12,十,290,6
13,目,221,7
14,儿,270,3
15,丨,210,5
16,丿,272,10
17,干,251,5
18,乙,231,5
19,亻,222,6
20,囗,191,5
21,大,230,6
22,厶,212,7
23,土,240,9
24,丶,202,7
25,二,291,6
26,王,210,7
27,白,202,7
28,艹,192,9
29,氵,224,13
30,羊,231,6
31,門,181,4
32,匕,170,4
33,立,161,6
34,主,160,3
35,灬,151,4
36,里,182,6
37,隹,151,7
38,又,141,7
39,耳,161,5
40,扌,144,11
41,寺,180,3
42,彳,190,4
43,牛,153,6
44,斤,150,6
45,貝,161,5
46,米,161,4
47,⻌,200,5
48,刂,160,5
49,禾,181,6
50,止,151,6
51,厂,163,12
52,礻,150,5
53,言,145,10
54,舌,170,4
55,殳,161,7
56,乂,182,7
57,千,141,6
58,关,141,5
59,⺍,140,6
60,子,181,6
61,見,160,4
62,夫,160,6
63,宀,153,9
64,龶,160,4
65,女,154,9
66,未,190,4
67,寸,152,8
68,少,141,7
69,聿,140,4
70,戸,141,7
71,央,140,2
72,龰,140,2
73,卩,132,8
74,廾,132,8
75,弓,132,6
76,尸,131,9
77,至,181,4
78,攵,131,7
79,古,141,7
80,工,131,5
81,穴,162,6
82,九,142,6
83,心,133,7
84,𠂊,160,5
85,田,225,11
86,力,211,7
87,豕,150,8
88,幺,150,5
89,⺕,141,9
90,雨,150,3
91,云,150,4
92,車,143,7
93,广,161,9
94,廿,231,7
95,丁,142,6
96,士,141,6
97,冖,133,8
98,糸,132,13
99,且,171,8
100,交,141,5
101,売,141,3
102,由,140,11
103,各,132,7
104,火,133,8
105,方,131,8
106,𠂉,281,10
107,毋,230,4
108,台,131,5
109,也,131,4
110,可,131,4
111,小,131,4
112,氏,131,4
113,𡗗,130,4
114,帚,130,3
115,占,123,6
116,巾,122,7
117,衣,121,8
118,⺤,121,7
119,畐,121,5
120,乍,121,4
121,免,121,4
122,重,121,4
123,亡,120,5
124,昜,120,5
125,⻖,122,10
126,艮,160,6
127,夂,130,5
128,冫,140,6
129,欠,141,8
130,青,120,5
131,忄,130,6
132,生,130,5
133,弋,120,3
134,玉,120,2
135,竹,115,11
136,合,132,5
137,者,114,10
138,勿,112,4
139,音,112,4
140,己,111,8
141,走,130,4
142,几,111,7
143,歹,112,4
144,反,111,6
145,飠,160,4
146,曽,111,6
147,毎,111,6
148,吾,111,3
149,周,111,3
150,耂,111,3
151,莫,110,7
152,召,110,6
153,羽,110,4
154,谷,110,4
155,斗,110,2
156,余,110,5
157,气,110,2
158,巴,103,7
159,酉,102,6
160,頁,102,6
161,予,110,4
162,令,102,7
163,金,106,9
164,兌,110,6
165,罒,102,5
166,非,132,9
167,直,111,5
168,山,101,7
169,凵,201,6
170,卯,101,6
171,吉,101,6
172,亅,101,4
173,官,101,4
174,翟,101,4
175,昔,100,4
176,束,100,4
177,自,100,4
178,才,100,3
179,冋,100,1
180,𠂇,100,1
181,虫,93,6
182,是,92,5
183,軍,92,5
184,今,91,6
185,分,91,6
186,啇,91,6
187,韋,91,4
188,业,91,3
189,尚,91,3
190,圣,90,5
191,丂,90,3
192,戠,90,3
193,甲,90,3
194,相,90,3
195,代,90,2
196,化,90,2
197,鳥,86,10
198,勹,85,12
199,比,85,10
200,𠦝,83,5
201,禺,82,6
202,中,81,7
203,文,81,6
204,京,81,5
205,申,81,5
206,市,81,3
207,矢,81,3
208,匸,150,4
209,⻏,80,4
210,咅,101,7
211,侖,80,4
212,冓,80,4
213,戋,80,4
214,責,80,4
215,㓁,80,2
216,不,80,2
217,冬,80,2
218,奴,80,2
219,孝,80,2
220,完,80,2
221,开,80,2
222,石,146,12
223,皮,111,5
224,其,83,8
225,肖,83,8
226,包,81,6
227,彡,80,5
228,弔,80,2
229,本,80,2
230,祭,80,2
231,袁,80,2
232,臣,73,9
233,魚,73,9
234,甫,73,7
235,東,72,7
236,戈,72,6
237,足,72,6
238,甬,91,3
239,疒,105,9
240,亦,90,4
241,兆,81,6
242,正,81,6
243,廴,90,2
244,豆,81,5
245,癶,110,2
246,丙,80,2
247,具,72,3
248,辰,71,7
249,支,71,6
250,旦,71,6
251,尺,111,6
252,馬,112,6
253,㑒,140,5
254,奇,72,6
255,亥,71,5
256,兄,71,5
257,疋,71,5
258,良,71,5
259,覀,71,5
260,亜,71,2
261,介,71,2
262,式,71,2
263,尞,70,6
264,同,70,5
265,⺌,70,4
266,水,70,4
267,⺦,70,3
268,早,70,3
269,矛,70,3
270,与,70,1
271,吏,70,1
272,哥,70,1
273,首,70,1
274,衤,63,7
275,刀,91,5
276,复,80,3
277,七,71,2
278,勺,63,6
279,単,63,6
280,旨,63,5
281,加,62,8
282,司,62,6
283,半,62,5
284,及,62,5
285,夬,62,4
286,更,62,4
287,夋,61,7
288,㐬,61,4
289,元,61,4
290,共,61,4
291,咼,61,4
292,川,61,4
293,犬,61,4
294,義,61,4
295,辛,61,4
296,埶,61,3
297,曲,60,4
298,果,60,4
299,列,60,3
300,句,60,3
301,壬,60,3
302,斉,60,3
303,則,60,2
304,升,60,2
305,咸,60,2
306,孚,60,2
307,布,60,2
308,弗,60,2
309,系,60,2
310,角,60,2
311,⺨,58,13
312,圭,55,9
313,林,53,7
314,示,72,7
315,取,53,5
316,玄,52,6
317,去,52,4
318,枼,52,4
319,次,52,4
320,皿,91,6
321,享,51,6
322,夌,51,6
323,曷,51,6
324,鬼,51,6
325,区,51,5
326,付,51,4
327,三,51,3
328,午,51,3
329,右,51,3
330,氺,51,3
331,炎,51,3
332,苗,51,3
333,釆,51,3
334,㐮,50,5
335,公,50,5
336,手,50,5
337,告,50,4
338,成,50,4
339,采,50,3
340,乇,50,2
341,争,50,2
342,先,50,2
343,動,50,2
344,卬,50,2
345,原,50,2
346,呉,50,2
347,娄,50,2
348,害,50,2
349,寉,50,2
350,尹,50,2
351,幾,50,2
352,戌,50,2
353,戍,50,2
354,敬,50,2
355,永,50,2
356,求,50,2
357,夭,43,4
358,牙,42,6
359,兪,42,5
360,扁,42,5
361,屯,42,4
362,父,42,3
363,革,42,3
364,光,41,5
365,虍,41,5
366,𢦏,41,5
367,匚,41,4
368,垂,41,4
369,CDP-8BC4,41,2
370,㝵,41,2
371,会,41,2
372,北,41,2
373,卦,41,2
374,坐,41,2
375,巽,41,2
376,幸,41,2
377,廷,41,2
378,舟,41,4
379,㕣,60,3
380,亢,41,4
381,彑,41,2
382,彦,41,2
383,憂,41,2
384,舛,41,2
385,𠂤,41,2
386,兼,40,4
387,卆,40,4
388,旬,40,4
389,爰,40,4
390,監,40,4
391,喿,40,3
392,失,40,3
393,夹,40,3
394,氐,40,3
395,麻,40,3
396,呂,41,4
397,彔,40,2
398,𠔉,40,2
399,⺷,40,1
400,マ,40,1
401,了,70,3
402,㔾,40,1
403,䏍,40,1
404,乎,40,1
405,以,40,1
406,佰,40,1
407,兀,40,1
408,入,40,1
409,冏,40,1
410,到,40,1
411,劵,40,1
412,卸,40,1
413,厄,40,1
414,友,40,1
415,吊,40,1
416,呈,40,1
417,垔,40,1
418,夅,40,1
419,寅,40,1
420,巷,40,1
421,度,40,1
422,忍,40,1
423,戉,40,1
424,斿,40,1
425,昏,40,1
426,楽,40,1
427,民,40,1
428,洛,40,1
429,色,40,1
430,菫,40,1
431,貫,40,1
432,髟,40,1
433,黄,40,1
434,𢆉,40,1
435,辟,33,6
436,喬,33,5
437,真,32,5
438,胡,32,4
439,䍃,31,4
440,童,31,4
441,行,31,4
442,朮,60,2
443,長,31,4
444,丘,31,3
445,劦,31,3
446,員,31,3
447,固,31,3
448,奉,31,3
449,容,31,3
450,屈,31,3
451,帛,31,3
452,意,31,3
453,或,31,3
454,朿,31,3
455,男,31,3
456,酋,31,3
457,亘,30,3
458,兹,30,3
459,利,30,3
460,叔,30,3
461,天,30,3
462,岡,30,3
463,折,30,3
464,攸,30,3
465,朋,30,3
466,朱,30,3
467,能,30,3
468,蒦,30,3
469,賁,30,3
470,隶,30,3
471,風,30,3
472,黒,30,3
473,丩,30,2
474,于,30,2
475,君,30,2
476,壮,30,2
477,奐,30,2
478,尭,30,2
479,屰,30,2
480,広,30,2
481,溥,30,2
482,竟,30,2
483,荅,30,2
484,有,24,6
485,此,24,6
486,我,23,5
487,番,23,5
488,西,23,5
489,宛,23,4
490,安,22,4
491,巨,22,4
492,敝,22,4
493,昌,22,4
494,曹,22,4
495,曼,22,4
496,甘,22,4
497,电,22,4
498,秋,22,4
499,般,22,4
500,骨,22,4
501,高,22,4
502,冘,22,3
503,叟,22,3
504,皆,22,3
505,倉,21,3
506,出,21,3
507,叚,21,3
508,因,21,3
509,宗,21,3
510,尓,21,3
511,巛,21,3
512,左,21,3
513,平,21,3
514,末,21,3
515,某,21,3
516,歩,21,3
517,毛,21,3
518,耒,30,2
519,井,41,3
520,焦,21,3
521,爻,21,3
522,瓜,21,3
523,票,22,4
524,甚,21,3
525,离,21,3
526,竜,21,3
527,若,21,3
528,豸,21,3
529,路,21,3
530,乞,21,2
531,多,21,2
532,暴,21,2
533,歯,21,2
534,泉,21,2
535,灰,21,2
536,然,21,2
537,片,21,2
538,胃,21,2
539,農,21,2
540,頃,21,2
541,⺗,20,2
542,丰,20,2
543,之,20,2
544,亚,20,2
545,亶,20,2
546,充,20,2
547,内,20,2
548,匊,20,2
