kanji,keyword_6th_ed,jlpt,components
一,one,N5,一
二,two,N5,
三,three,N5,一
四,four,N5,囗; 丿
五,five,N5,一; 二
六,six,N5,亠; 八
七,seven,N5,一; 乙
八,eight,N5,
九,nine,N5,丿; 乙
十,ten,N5,十
口,mouth,N4,口
日,day,N5,日
月,month,N5,月
田,rice field,N4,田
目,eye,N4,目
古,old,N4,十; 口
吾,I,,一; 二; 口
冒,risk,N1,冂; 目
朋,companion,N1,月
明,bright,N4,日; 月
唱,chant,N1,口; 日
晶,sparkle,N1,日
品,goods,N4,口
呂,spine,N1,口; 丿
昌,prosperous,N1,日
早,early,N4,日; 十
旭,rising sun,N1,乙; 日
世,generation,N4,一; 丨
胃,stomach,N2,田; 月
旦,nightbreak,N1,日; 一
胆,gall bladder,N1,月; 日; 一
亘,span,N1,一; 日
凹,concave,N1,凵
凸,convex,N1,一; 丨
旧,olden times,N2,丨; 日
自,oneself,N4,目
白,white,N5,日
百,hundred,N5,一; 日
中,in,N5,口; 丨
千,thousand,N5,丿; 十
舌,tongue,N1,千; 口
升,measuring box,N1,丿; 十
昇,rise up,N2,日; 丿; 十
丸,round,N2,丿; 乙; 丶
寸,measurement,N1,寸
肘,elbow,,月; 寸
専,specialty,N2,日; 丨; 寸
博,Dr.,N1,十; 用; 丶; 寸
占,fortune-telling,N2,卜; 口
上,above,N5,卜; 一
下,below,N5,一; 卜
卓,eminent,N1,卜; 日; 十
朝,morning,N4,十; 日; 月
嘲,derision,,口; 十; 日; 月
只,only,N1,口
貝,shellfish,N2,目; 八
唄,pop song,N1,口; 目; 八
貞,upright,N1,卜; 目; 八
員,employee,N4,口; 目; 八
貼,post a bill,,目; 八; 卜; 口
見,see,N5,目; 儿
児,newborn babe,N2,丨; 日; 丿
元,beginning,N4,二; 丿
頁,page,,目; 八
頑,stubborn,N1,二; 丿; 目; 八
凡,mediocre,N1,丿; 丶
負,defeat,N3,𠂊; 目; 八
万,ten thousand,N5,一
句,phrase,N1,丿; 口
肌,texture,N2,月; 丿
旬,decameron,N1,丿; 日
勺,ladle,N1,丿; 丶
的,bull's eye,,日; 丿; 丶
首,neck,N3,目
乙,fish guts,N1,乙
乱,riot,N2,千; 口; 乙
直,straightaway,N3,十; 目
具,tool,N3,目; 八
真,true,N4,十; 目; 八
工,craft,N4,工
左,left,N5,工
右,right,N5,口
有,possess,N4,月
賄,bribe,N1,目; 八; 月
貢,tribute,N1,工; 目; 八
項,paragraph,N1,工; 目; 八
刀,sword,N1,刀
刃,blade,N1,丿; 丶
切,cut,N4,一; 刀
召,seduce,N2,刀; 口
昭,shining,N1,日; 刀; 口
則,rule,N2,目; 八; 刂
副,vice-,N2,一; 口; 田; 刂
別,separate,N4,口; 丿; 刂
丁,street,N1,一; 亅
町,village,N4,田; 一; 亅
可,can,,一; 口; 亅
頂,place on the head,N3,一; 亅; 目; 八
子,child,N5,子
孔,cavity,N1,子; 乙
了,complete,N2,亅
女,woman,N5,女
好,fond,N3,女; 子
如,likeness,N1,女; 口
母,mama,N5,毋
貫,pierce,N1,毋; 目; 八
兄,elder brother,N4,口; 丿
呪,curse,,口; 丿
克,overcome,N1,十; 口; 丿
小,little,N5,小
少,few,N4,小; 丿
大,large,N5,大
多,many,N4,夕
夕,evening,N4,夕
汐,eventide,N1,氵; 夕
外,outside,N5,夕; 卜
名,name,N5,夕; 口
石,stone,N3,口
肖,resemblance,N1,⺌; 月
硝,nitrate,N1,口; ⺌; 月
砕,smash,N1,口; 乙; 十
砂,sand,N2,口; 小; 丿
妬,jealous,,女; 口
削,plane,N1,⺌; 月; 刂
光,ray,N3,⺌; 一; 丿
太,plump,N3,大; 丶
器,utensil,N1,口; 大
臭,stinking,N1,目; 大
嗅,sniff,,口; 目; 大; 丶
