kanji,grade
"一",1
"二",1
"九",1
"七",1
"人",1
"入",1
"八",1
"力",1
"十",1
"三",1
"上",1
"下",1
"口",1
"大",1
"女",1
"山",1
"川",1
"工",2
"刀",2
"土",1
"千",1
"夕",1
"子",1
"小",1
"丁",3
"了",8
"又",8
"丸",2
"才",2
"中",1
"五",1
"六",1
"円",1
"天",1
"手",1
"文",1
"日",1
"月",1
"木",1
"水",1
"火",1
"犬",1
"王",1
"出",1
"右",1
"四",1
"左",1
"本",1
"正",1
"玉",1
"田",1
"白",1
"目",1
"石",1
"立",1
"万",2
"久",5
"今",2
"元",2
"公",2
"内",2
"分",2
"切",2
"午",2
"友",2
"太",2
"少",2
"引",2
"心",2
"戸",2
"方",2
"牛",2
"父",2
"毛",2
"止",2
"兄",2
"冬",2
"北",2
"半",2
"古",2
"台",2
"外",2
"市",2
"広",2
"母",2
"用",2
"矢",2
"世",3
"主",3
"他",3
"代",3
"写",3
"去",3
"号",3
"央",3
"平",3
"打",3
"氷",3
"申",3
"皮",3
"皿",3
"礼",3
"休",1
"先",1
"名",1
"字",1
"年",1
"早",1
"気",1
"百",1
"竹",1
"糸",1
"耳",1
"虫",1
"村",1
"男",1
"町",1
"花",1
"見",1
"貝",1
"赤",1
"足",1
"車",1
"不",4
"仕",3
"交",2
"会",2
"光",2
"同",2
"回",2
"多",2
"当",2
"毎",2
"池",2
"米",2
"羽",2
"考",2
"肉",2
"自",2
"色",2
"行",2
"西",2
"何",2
"体",2
"作",2
"図",2
"声",2
"売",2
"弟",2
"形",2
"来",2
"社",2
"角",2
"言",2
"谷",2
"走",2
"近",2
"里",2
"麦",2
"学",1
"林",1
"空",1
"金",1
"雨",1
"青",1
"草",1
"音",1
"化",3
"地",2
"両",3
"全",3
"向",3
"安",3
"州",3
"曲",3
"有",3
"次",3
"死",3
"羊",3
"血",3
"京",2
"国",2
"夜",2
"妹",2
"姉",2
"店",2
"明",2
"東",2
"歩",2
"画",2
"直",2
"知",2
"長",2
"前",2
"南",2
"室",2
"後",2
"思",2
"星",2
"活",2
"海",2
"点",2
"科",2
"茶",2
"食",2
"首",2
"欠",4
"氏",4
"由",3
"札",4
"民",4
"辺",4
"付",4
"以",4
"失",4
"必",4
"未",4
"末",4
"校",1
"夏",2
"家",2
"弱",2
"時",2
"紙",2
"記",2
"通",2
"高",2
"強",2
"教",2
"理",2
"組",2
"船",2
"週",2
"雪",2
"魚",2
"鳥",2
"黄",2
"黒",2
"支",5
"住",3
"助",3
"医",3
"君",3
"対",3
"局",3
"役",3
"投",3
"決",3
"究",3
"身",3
"者",3
"研",3
"馬",2
"森",1
"場",2
"朝",2
"番",2
"答",2
"絵",2
"買",2
"道",2
"間",2
"雲",2
"数",2
"楽",2
"話",2
"電",2
"所",3
"事",3
"使",3
"具",3
"受",3
"和",3
"始",3
"定",3
