position,kanji,keyword_6th_ed,jlpt,weight,introduced_by_component,components
1,車,car,N5,100,INITIAL,
2,子,child,N5,100,INITIAL,
3,日,day,N5,100,INITIAL,
4,食,eat,N5,100,INITIAL,
5,八,eight,N5,100,INITIAL,
6,入,enter,N5,100,INITIAL,
7,父,father,N5,100,INITIAL,
8,火,fire,N5,100,INITIAL,
9,金,gold,N5,100,INITIAL,
10,大,large,N5,100,INITIAL,
11,生,life,N5,100,INITIAL,
12,小,little,N5,100,INITIAL,
13,長,long,N5,100,INITIAL,
14,月,month,N5,100,INITIAL,
15,山,mountain,N5,100,INITIAL,
16,一,one,N5,100,INITIAL,
17,人,person,N5,100,INITIAL,
18,雨,rain,N5,100,INITIAL,
19,土,soil,N5,100,INITIAL,
20,川,stream,N5,100,INITIAL,
21,十,ten,N5,100,INITIAL,
22,木,tree,N5,100,INITIAL,
23,二,two,N5,100,INITIAL,
24,水,water,N5,100,INITIAL,
25,西,west,N5,100,INITIAL,
26,女,woman,N5,100,INITIAL,
27,牛,cow,N4,70,INITIAL,
28,工,craft,N4,70,INITIAL,
29,夕,evening,N4,70,INITIAL,
30,目,eye,N4,70,INITIAL,
31,手,hand,N4,70,INITIAL,
32,心,heart,N4,70,INITIAL,
33,肉,meat,N4,70,INITIAL,
34,口,mouth,N4,70,INITIAL,
35,力,power,N4,70,INITIAL,
36,田,rice field,N4,70,INITIAL,
37,用,utilize,N4,70,INITIAL,
38,耳,ear,N3,40,INITIAL,
39,欠,lack,N3,40,INITIAL,
40,面,mask,N3,40,INITIAL,
41,米,rice,N3,40,INITIAL,
42,示,show,N3,40,INITIAL,
43,非,un-,N3,40,INITIAL,
44,竹,bamboo,N2,20,INITIAL,
45,舟,boat,N2,20,INITIAL,
46,皿,dish,N2,20,INITIAL,
47,戸,door,N2,20,INITIAL,
48,羽,feathers,N2,20,INITIAL,
49,毛,fur,N2,20,INITIAL,
50,門,gates,N2,20,INITIAL,
51,片,one-sided,N2,20,INITIAL,
52,皮,pelt,N2,20,INITIAL,
53,臣,retainer,N2,20,INITIAL,
54,糸,thread,N2,20,INITIAL,
55,缶,tin can,N2,20,INITIAL,
56,斤,ax,N1,10,INITIAL,
57,弓,bow,N1,10,INITIAL,
58,氏,family name,N1,10,INITIAL,
59,乙,fish guts,N1,10,INITIAL,
60,士,gentleman,N1,10,INITIAL,
61,寸,measurement,N1,10,INITIAL,
62,又,or again,N1,10,INITIAL,
63,己,self,N1,10,INITIAL,
64,刀,sword,N1,10,INITIAL,
65,卜,,None,1,INITIAL,
66,臼,mortar,None,1,INITIAL,
67,曰,sayeth,None,1,INITIAL,
68,身,somebody,None,1,INITIAL,
69,匕,spoon,None,1,INITIAL,
70,巾,towel,None,1,INITIAL,
71,右,right,N5,100,口,口
72,品,goods,N4,70,口,口
73,言,say,N4,70,口,口
74,石,stone,N3,40,口,口
75,谷,valley,N2,20,口,口
76,豆,beans,N1,10,口,口
77,万,ten thousand,N5,100,一,一
78,三,three,N5,100,一,一
79,与,bestow,N3,40,一,一
80,号,nickname,N3,40,一,口; 一
81,司,director,N1,10,一,一; 口
82,丑,sign of the cow,N1,10,一,一
83,上,above,N5,100,卜,卜; 一
84,下,below,N5,100,卜,一; 卜
85,止,stop,N4,70,卜,卜
86,占,fortune-telling,N2,20,卜,卜; 口
87,名,name,N5,100,夕,夕; 口
88,外,outside,N5,100,夕,夕; 卜
89,多,many,N4,70,夕,夕
90,京,capital,N4,70,亠,亠; 口
91,方,direction,N4,70,亠,亠
92,立,stand up,N4,70,亠,亠
93,衣,garment,N2,20,亠,亠
94,之,of,N1,10,亠,亠
95,享,receive,N1,10,亠,亠; 口
96,亮,translucent,N1,10,亠,亠; 口
97,亨,,None,1,亠,亠; 口
98,本,book,N5,100,木,木
99,束,bundle,N3,40,木,木; 口
100,未,not yet,N3,40,木,木
101,林,grove,N2,20,木,木
102,棄,abandon,N1,10,木,亠; 木
103,杏,apricot,N1,10,木,木; 口
104,朴,crude,N1,10,木,木; 卜
105,呆,dumbfounded,None,1,木,口; 木
106,末,extremity,None,1,木,木
107,東,east,N5,100,日,木; 日
108,白,white,N5,100,日,日
109,旦,nightbreak,N1,10,日,日; 一
110,昌,prosperous,N1,10,日,日
111,晶,sparkle,N1,10,日,日
112,里,ri,None,1,日,日
113,今,now,N5,100,人,人; 一
114,命,fate,N3,40,人,人; 口
115,合,fit,N3,40,人,人; 口
116,令,orders,N2,20,人,人; 一
117,倉,godown,N1,10,人,人; 口
118,亥,sign of the hog,N1,10,人,亠; 人
119,疋,critters,None,1,人,卜; 人
120,明,bright,N4,70,月,日; 月
121,有,possess,N4,70,月,月
122,育,bring up,N3,40,月,亠; 月
123,骨,skeleton,N2,20,月,月
124,朋,companion,N1,10,月,月
125,且,moreover,N1,10,月,月; 一
126,膝,knee,None,1,月,月; 木
127,脊,spinal column,None,1,月,人; 月
128,前,in front,N5,100,八,八; 月
129,六,six,N5,100,八,亠; 八
130,共,together,N3,40,八,八
131,呉,give,N1,10,八,口; 八
132,只,only,N1,10,八,口; 八
133,曽,formerly,None,1,八,八; 日
134,円,circle,N5,100,冂,冂
135,同,same,N4,70,冂,冂; 一; 口
136,内,inside,N3,40,冂,冂; 人
137,而,and then,None,1,冂,冂
138,南,south,N5,100,十,十; 冂
139,早,early,N4,70,十,日; 十
140,古,old,N4,70,十,十; 口
141,干,dry,N2,20,十,十
142,卒,graduate,N2,20,十,亠; 十
143,叶,within my ability,N1,10,十,口; 十
144,自,oneself,N4,70,目,目
145,相,inter-,N3,40,目,木; 目
146,直,straightaway,N3,40,目,十; 目
147,具,tool,N3,40,目,目; 八
148,貝,shellfish,N2,20,目,目; 八
149,冒,risk,N1,10,目,日; 目
150,鼎,tripod,None,1,目,目
151,先,before,N5,100,儿,儿
152,見,see,N5,100,儿,目; 儿
153,兄,elder brother,N4,70,儿,口; 儿
154,中,in,N5,100,丨,口; 丨
155,申,speaketh,N3,40,丨,日; 丨
156,由,wherefore,N3,40,丨,日; 丨
157,旧,olden times,N2,20,丨,丨; 日
158,甲,armor,N1,10,丨,日; 丨
159,千,thousand,N5,100,丿,丿; 十
160,不,negative,N4,70,丿,一; 丿; 丨
161,向,yonder,N3,40,丿,丿; 口
162,介,jammed in,N2,20,丿,人; 丿
163,眉,eyebrow,N1,10,丿,丿; 目
164,乃,from,N1,10,丿,丿
165,卑,lowly,N1,10,丿,丿
166,呂,spine,N1,10,丿,口; 丿
