id,kanji,keyword,lesson,new components,jmdict_id
1,口,くち,1,yes,1275640
2,日,ひ,1,yes,1463770
3,田,た,1,yes,1442730
4,目,め,1,yes,1604890
5,月,つき,1,yes,1255430
6,明,あかるい,1,no,1532350
7,胃,い,1,no,1158500
8,中,なか,1,yes,1423310
9,見,みる,1,yes,1259290
10,兄,あに,1,no,1225790
11,一,いち,2,yes,1160790
12,二,に,2,no,1461140
13,三,さん,2,no,1579350
14,四,よん,2,yes,1579470
15,五,ご,2,yes,1268060
16,六,ろく,2,yes,1585310
17,七,なな,2,yes,1319210
18,八,はち,2,yes,1583090
19,九,きゅう,2,yes,1578150
20,十,じゅう,2,yes,1579840
21,古,ふるい,3,no,1265070
22,早,はやい,3,no,1404975
23,朝,あさ,3,no,1428280
24,白,しろい,3,,1474910
25,百,ひゃく,3,,1488000
26,丸,まる,3,,1216250
27,車,くるま,3,,1323080
28,西,にし,3,,1380840
29,木,き,4,,1534520
30,林,はやし,4,,1555440
31,森,もり,4,,1362490
32,柏,かしわ,4,,1583040
33,杏,あんず,4,,1586930
34,枯,かれる,4,,1005770
35,本,ほん,4,,1522150
36,東,ひがし,4,,1447440
37,草,くさ,5,,1401910
38,苦,にがい,5,,1244310
39,苗,なえ,5,,1490470
40,芋,いも,5,,1167960
41,革,かわ,5,,
